Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_10,MA_20,MA_30,VOL_5,VOL_10,VOL_20,VOL_30,green,ma_break_all_avg,ma_break_30_avg,tmrw_high_open,tmrw_succeed_all_avg,tmrw_red
2021-06-11,25.149999618530277,24.700000762939453,25.13999938964844,24.799999237060547,4623357.0,24.799999237060547,25.391999435424804,26.061999702453612,25.842499923706054,25.959999910990398,6038176.6,9190479.0,9271236.35,11011340.2,True,True,True,True,False,False
2021-06-15,24.989999771118164,23.920000076293945,24.88999938964844,24.09000015258789,4834148.0,24.09000015258789,25.049999618530272,25.846999740600587,25.72299995422363,25.810333251953125,5555237.6,8551678.2,8699071.6,10423915.0,True,True,True,True,False,False
2021-06-16,24.559999465942383,23.959999084472656,24.1200008392334,24.100000381469727,3566121.0,24.100000381469727,24.809999847412108,25.651999855041502,25.613499927520753,25.7033332824707,4939378.0,8188668.1,8265899.2,9614773.2,True,True,True,False,False,False
2021-06-17,24.1200008392334,23.200000762939453,24.100000381469727,23.459999084472656,5789790.0,23.459999084472656,24.317999649047852,25.21099967956543,25.46099987030029,25.601333236694337,5025592.2,6753094.6,8063721.55,9278260.7,True,True,True,False,False,True
2021-06-18,23.76000022888184,23.26000022888184,23.26000022888184,23.700000762939453,4085504.0,23.700000762939453,24.029999923706054,24.867999839782716,25.38249988555908,25.54166660308838,4579784.0,5964004.8,7740487.2,9017543.6,False,True,True,False,False,True
2021-06-21,24.350000381469727,23.5,23.559999465942383,24.149999618530277,4054633.0,24.149999618530277,23.9,24.645999717712403,25.342999839782713,25.47199993133545,4466039.2,5252107.9,7636119.15,8706775.2,False,False,True,False,False,True
2021-06-22,25.309999465942383,23.82999992370605,24.149999618530277,24.82999992370605,6929172.0,24.82999992370605,24.047999954223634,24.548999786376953,25.333499813079833,25.460333251953124,4885044.0,5220140.8,7710234.6,8559379.3,False,False,True,False,False,False
2021-06-23,24.739999771118164,24.209999084472656,24.51000022888184,24.239999771118164,4469312.0,24.239999771118164,24.07599983215332,24.442999839782715,25.292999839782716,25.40566660563151,5065682.2,5002530.1,7628896.85,8264466.966666667,True,False,True,True,False,True
2021-06-24,25.489999771118164,23.700000762939453,24.350000381469727,25.34000015258789,9264028.0,25.34000015258789,24.452000045776366,24.38499984741211,25.2689998626709,25.371333249409993,5760529.8,5393061.0,7575222.9,8214903.566666666,False,False,True,False,False,False
2021-06-25,25.06999969482422,24.600000381469727,24.81999969482422,24.63999938964844,6027132.0,24.63999938964844,24.639999771118163,24.33499984741211,25.208999824523925,25.35233325958252,6148855.4,5364319.7,7444090.35,8079585.9,True,False,True,True,False,False
2021-06-28,24.690000534057617,23.979999542236328,24.649999618530277,24.100000381469727,4203271.0,24.100000381469727,24.629999923706055,24.26499996185303,25.16349983215332,25.31666660308838,6178583.0,5322311.1,7256395.05,7954927.933333334,True,True,True,True,False,False
2021-06-29,24.32999992370605,23.799999237060547,24.1299991607666,23.809999465942383,3509936.0,23.809999465942383,24.42599983215332,24.236999893188475,25.04199981689453,25.22766660054525,5494735.8,5189889.9,6870784.05,7529344.366666666,True,True,True,False,False,True
2021-06-30,24.13999938964844,23.71999931335449,23.809999465942383,24.0,2942663.0,24.0,24.37799987792969,24.226999855041505,24.939499855041504,25.151333236694335,5189406.0,5127544.1,6658106.1,7219780.833333333,False,True,True,False,False,False
2021-07-01,24.200000762939453,23.56999969482422,23.84000015258789,23.76000022888184,3947932.0,23.76000022888184,24.061999893188478,24.256999969482422,24.733999824523927,25.05966657002767,4126186.8,4943358.3,5848226.45,7023600.466666667,True,True,True,True,False,False
2021-07-02,23.920000076293945,23.200000762939453,23.790000915527344,23.229999542236328,3253637.0,23.229999542236328,23.779999923706054,24.20999984741211,24.538999843597413,24.991666539510092,3571487.8,4860171.6,5412088.2,6780382.0,True,True,True,False,False,True
2021-07-05,23.36000061035156,23.01000022888184,23.100000381469727,23.1200008392334,2761708.0,23.1200008392334,23.584000015258788,24.106999969482423,24.37649984359741,24.93099988301595,3283175.2,4730879.1,4991493.5,6667705.8,False,True,True,True,False,True
2021-07-06,24.989999771118164,23.670000076293945,23.670000076293945,24.0,7546439.0,24.0,23.62200012207031,24.023999977111817,24.286499881744383,24.896999867757163,4090475.8,4792605.8,5006373.3,6737691.666666667,False,False,True,False,False,True
2021-07-07,24.030000686645508,23.38999938964844,23.56999969482422,23.81999969482422,4413012.0,23.81999969482422,23.586000061035158,23.981999969482423,24.21249990463257,24.85599988301595,4384545.6,4786975.8,4894752.95,6681589.833333333,False,False,True,True,False,False
2021-07-08,23.959999084472656,23.190000534057617,23.82999992370605,23.21999931335449,4576312.0,23.21999931335449,23.477999877929687,23.76999988555908,24.077499866485596,24.769333203633625,4510221.6,4318204.2,4855632.6,6489550.0,True,True,True,True,False,True
2021-07-09,23.57999992370605,23.15999984741211,23.280000686645508,23.459999084472656,2737054.0,23.459999084472656,23.523999786376955,23.651999855041502,23.993499851226808,24.68999983469645,4406905.0,3989196.4,4676758.05,6292459.033333333,False,True,True,True,False,False
2021-07-12,23.739999771118164,23.31999969482422,23.600000381469727,23.530000686645508,3123931.0,23.530000686645508,23.605999755859376,23.594999885559083,23.929999923706056,24.64066651662191,4479349.6,3881262.4,4601786.75,6131350.833333333,True,True,True,True,False,False
2021-07-13,23.549999237060547,23.13999938964844,23.549999237060547,23.32999992370605,3065926.0,23.32999992370605,23.471999740600587,23.54699993133545,23.891999912261962,24.54366652170817,3583247.0,3836861.4,4513375.65,5859476.5,True,True,True,True,False,True
